,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,month,DayOfWeek,hour,season,weekday,term_time,term_week,IsHoliday,Cluster,prob_1,prob_2
0,2015-08-01,61.11499786376953,60.75999927520752,60.63999938964844,61.317498207092285,60.76249885559082,59.71749877929688,100.87499809265135,162.50749588012695,172.0749969482422,156.70750045776367,147.44250106811523,141.01499557495117,139.77499389648438,138.7324981689453,135.19499969482422,132.42499923706055,151.4499969482422,139.83499908447266,127.3949966430664,122.5749969482422,113.84499931335448,113.61749839782716,66.92749786376953,62.46999931335449,8,5,0,3,0,0,0,0,1,0.0,1.0
1,2014-06-17,61.69749927520752,61.397499084472656,60.90249824523926,52.0099983215332,46.57999897003174,72.52499866485596,86.17999649047852,130.60999870300293,137.5900001525879,157.5349998474121,164.17249298095703,156.91749954223633,165.8424949645996,158.3249969482422,143.6474952697754,147.66749572753906,128.1074981689453,85.31999778747559,67.80999946594238,58.78749942779541,60.6299991607666,50.6649980545044,60.27249813079834,59.2624979019165,6,1,0,3,1,0,0,0,0,0.999,0.001
2,2015-11-15,64.27499866485596,63.834999084472656,64.20249843597412,64.95999908447266,65.36749839782715,64.87249946594238,66.51249885559082,62.12249851226807,49.1924991607666,49.60499858856201,48.66249847412109,51.33999824523926,51.07249927520752,51.41499900817871,51.27999782562256,51.557498931884766,52.45749855041504,72.30999755859375,69.64249801635742,71.50249862670898,68.55249786376953,67.49249839782715,67.81999969482422,68.10249710083008,11,6,0,4,0,1,0,0,0,1.0,0.0
3,2023-01-10,63.80999851226807,63.71499919891357,56.76999950408936,56.86999988555908,56.49999809265137,58.49749946594238,55.73749828338623,50.922499656677246,55.43749809265137,67.52999877929689,79.5999984741211,63.04749870300293,49.49749755859375,50.73249912261963,48.15499877929688,48.397499084472656,51.96249866485596,58.47999858856201,66.88500022888184,71.45499992370605,74.56999778747559,79.78249740600586,72.61499977111816,73.47999572753906,1,1,0,1,1,1,1,1,1,0.0,1.0
4,2017-04-30,67.89749908447266,69.74499702453613,68.4124984741211,68.51249694824219,67.78999900817871,48.657498359680176,50.31499862670898,50.61999797821045,49.70249843597412,48.85249900817871,50.36249923706055,49.68249797821045,48.00749969482422,49.76999855041504,49.647499084472656,48.58249855041504,48.74749946594238,47.89249801635742,47.49999904632568,47.69999885559082,67.42499828338623,70.29999923706055,69.56249809265137,67.70999908447266,4,6,0,2,0,1,0,0,0,1.0,0.0
5,2016-10-21,63.22249794006348,62.92249870300293,63.07249927520752,61.96999931335449,62.55249881744385,88.02249908447266,129.14749717712402,153.6474952697754,171.93749237060547,180.18499374389648,185.129997253418,183.53499603271484,172.62249755859375,165.79749298095703,162.6999969482422,151.4625015258789,137.00749588012695,131.03249740600586,140.19999313354492,135.30249786376953,122.78249740600586,80.37249946594238,65.30249786376953,63.067498207092285,10,4,0,4,1,1,1,1,1,0.0,1.0
6,2014-04-19,60.52499866485596,61.23499870300293,61.17999744415283,62.6299991607666,62.70999813079834,50.707498550415046,47.879998207092285,50.02749824523926,49.02999973297119,49.67499923706055,49.3524980545044,49.244998931884766,49.579999923706055,49.42249870300293,48.647499084472656,49.109999656677246,48.74749946594238,45.47249984741211,43.93249797821045,44.46249866485596,59.74249839782715,61.32999897003174,61.21749877929688,62.13999938964844,4,5,0,2,0,1,0,0,0,1.0,0.0
7,2023-02-14,58.33499813079834,57.85999870300293,57.82999801635742,57.63499927520752,57.70749855041504,58.60749816894531,97.78750038146973,133.8024959564209,167.64500045776367,176.08499908447266,184.68749618530276,192.1049919128418,196.1274948120117,189.8674964904785,189.1549949645996,185.24999237060547,173.4599952697754,147.4224967956543,148.67749786376953,130.59249687194824,121.2449951171875,113.14999771118164,70.54749870300293,61.094998359680176,2,1,0,1,1,1,1,1,1,0.0,1.0
8,2022-12-02,69.6624984741211,68.79750061035156,65.8549976348877,57.84999942779541,56.70749855041504,57.3524980545044,59.61249923706055,80.60999870300293,94.3799991607666,119.67499732971191,115.2624969482422,104.9449977874756,107.76499557495116,108.23999786376952,108.5799961090088,108.25,101.84499740600586,88.9574966430664,64.97999954223633,60.604997634887695,57.397499084472656,57.04749870300293,56.70999813079834,56.6324987411499,12,4,0,1,1,1,1,1,1,0.0,1.0
9,2022-08-21,48.2549991607666,48.584999084472656,47.6924991607666,47.94499969482422,47.88499927520752,41.61249923706055,49.3799991607666,53.82749938964844,53.03499889373779,55.38999843597412,56.17749881744385,55.09749889373779,62.08749771118164,48.92499923706055,48.22499942779541,47.807498931884766,40.49499797821045,39.61249923706055,38.46999931335449,38.57749843597412,48.61249828338623,49.42249870300293,48.55249881744385,49.03499889373779,8,6,0,3,0,0,0,0,0,0.997,0.003
