,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,building
1461,2017-01-01,55.05249881744385,54.33749866485596,55.6924991607666,55.062499046325684,55.79749870300293,56.40999794006348,59.40249824523926,59.8174991607666,57.17749881744385,44.814998626708984,43.6274995803833,45.2574987411499,43.79249858856201,44.1899995803833,44.32249927520752,43.94999885559082,51.68249797821045,60.372498512268066,60.897499084472656,61.247498512268066,59.33999824523926,57.75999736785889,57.37249755859375,57.39499855041504,Quinn_Business
1462,2017-01-02,63.994998931884766,63.6299991607666,63.27999973297119,63.354997634887695,62.68749809265137,62.34749794006348,104.64749908447266,137.22999572753906,149.9824981689453,164.96499252319336,172.8424949645996,189.27499389648438,183.2974967956543,179.9199981689453,184.06249618530273,184.54249572753906,182.96999740600586,174.70249557495117,158.54999542236328,141.72000122070312,135.1449966430664,121.9524974822998,81.3274974822998,68.22249794006348,Quinn_Business
1463,2017-01-03,64.37499809265137,64.23249912261963,63.77250003814697,62.9474983215332,63.32749843597412,63.029998779296875,121.79749870300293,131.09749794006348,157.63249588012695,183.2099952697754,187.05999374389648,185.8074951171875,187.38249588012695,184.8449935913086,200.47999572753906,197.71249389648438,202.07499313354492,155.67749786376953,156.20499420166016,147.49499893188477,133.48499298095703,126.45499801635744,75.0099983215332,67.51249694824219,Quinn_Business
1464,2017-01-04,63.58499813079834,62.77249813079834,63.01749897003174,63.05249881744385,62.32999801635742,65.25749778747559,52.902499198913574,98.8224983215332,124.27749824523926,132.10499572753906,130.24999809265137,129.74999809265137,126.18249702453613,119.8224983215332,118.17499542236328,108.03999710083008,101.1674976348877,56.8224983215332,49.55249881744385,60.8149995803833,66.20249938964844,65.10249996185303,63.39499759674072,61.782498359680176,Quinn_Business
1465,2017-01-05,67.28749656677246,67.81749725341797,66.43999671936035,67.18499946594238,66.87499809265137,48.1974983215332,48.38749980926514,52.3199987411499,50.839999198913574,54.824997901916504,54.45499897003174,55.33749771118164,55.08249855041504,53.76749897003174,54.84749889373779,54.054999351501465,50.7574987411499,51.0649995803833,51.27999973297119,51.30249881744385,65.67499923706055,70.91249656677246,70.37249755859375,67.76499938964844,Quinn_Business
1466,2017-01-06,63.817498207092285,63.374999046325684,63.33249855041504,63.34749984741211,54.67499923706055,87.49749755859375,95.15749740600586,124.45749855041504,139.65249633789062,137.57749557495117,137.46249771118164,143.87249755859375,143.1449966430664,136.1549949645996,127.8024959564209,122.82249641418457,115.8174991607666,106.45249557495117,82.90749740600586,75.39499855041504,76.44499969482422,70.25499725341797,65.8199987411499,65.75499629974365,Quinn_Business
1467,2017-01-07,62.16249752044678,61.98249816894531,61.9474983215332,61.604997634887695,62.262497901916504,57.58249759674072,52.11999797821045,57.01999855041504,61.824997901916504,66.1349983215332,69.18499946594238,70.19499778747559,68.83999824523926,67.5824966430664,70.41250038146973,63.05499839782715,55.74249839782715,51.77249813079834,54.584999084472656,50.40999889373779,48.3125,59.339999198913574,65.42749881744385,63.98499870300293,Quinn_Business
1468,2017-01-08,61.839999198913574,61.0099983215332,60.93749809265137,63.53749656677246,59.617499351501465,80.61999702453613,84.35499954223633,117.57749938964844,123.87249946594238,130.9124927520752,141.3574981689453,134.0,141.60749435424805,146.52249908447266,147.39999389648438,141.0449981689453,121.06999778747559,112.4799976348877,75.72749900817871,61.17249870300293,67.19499778747559,65.51749897003174,62.874999046325684,60.994998931884766,Quinn_Business
1469,2017-01-09,65.07749938964844,66.5399980545044,66.01749801635742,68.94499778747559,69.02000045776367,110.25499725341797,105.7649974822998,129.02749824523926,133.90749549865723,131.31249237060547,130.2649974822998,132.54749870300293,136.10249710083008,131.23249626159668,121.78999710083008,115.25749588012695,103.18499755859375,98.8799991607666,67.13749980926514,72.88499927520752,80.52249908447266,69.77249908447266,68.92499923706055,69.42999839782715,Quinn_Business
1470,2017-01-10,68.13249588012695,68.75749969482422,67.25749778747559,68.2249984741211,68.99499893188477,70.68499946594238,62.077499389648445,55.064998626708984,56.02499771118164,56.08749866485596,56.29499816894532,56.85499858856201,57.90999794006348,59.01999759674072,58.92249870300293,58.08749866485596,59.657498359680176,57.032498359680176,67.4424991607666,74.59749794006348,75.33499908447266,73.56749725341797,70.375,70.31249809265137,Quinn_Business
1471,2017-01-11,66.98499870300293,65.03249931335449,67.95999717712402,66.07749938964844,65.43999862670898,66.10999870300293,106.92999839782715,125.81499862670898,146.34499740600586,168.3424949645996,183.53249740600586,188.11499786376953,178.67249298095703,176.43749618530273,185.3074951171875,189.03999710083008,174.07749557495117,162.0,150.51749801635742,132.4199981689453,122.25249671936037,117.90999603271484,82.30249786376953,71.19249725341797,Quinn_Business
1472,2017-01-12,87.2924976348877,87.08249855041505,87.13749885559082,86.1449966430664,86.98999786376953,85.89749717712402,115.98250007629395,153.49749374389648,194.30999755859375,217.04999542236325,222.13749313354492,226.6374969482422,220.34999465942383,227.83999633789062,222.25749588012695,214.24999618530273,213.88999557495117,190.82499313354492,179.36249160766602,170.43999862670898,165.39749908447266,156.97999572753906,95.24749946594238,75.2874984741211,Quinn_Business
1473,2017-01-13,70.3174991607666,70.36499977111816,70.00249862670898,69.90749740600586,69.84749794006348,69.28750038146973,110.13249778747559,124.44499588012695,143.6525001525879,139.14999771118164,143.34999465942383,151.11999893188477,142.36249542236328,135.18749618530273,133.1099967956543,130.66749572753906,125.99499893188477,132.55249786376953,127.95499801635742,111.71249961853027,100.18749809265137,92.81999778747559,76.02749824523927,70.98249816894531,Quinn_Business
1474,2017-01-14,69.69499969482422,61.95999813079834,61.77999782562256,61.65999794006348,61.64249897003174,61.4474983215332,64.01249980926514,64.31749725341797,97.00249671936035,100.81249809265137,89.6449966430664,79.31999778747559,83.64749717712402,81.14999771118164,80.36999893188477,80.70499801635742,77.55999755859375,90.1724967956543,72.24999809265137,65.95499801635742,63.64999866485596,62.23999786376953,60.09749794006348,59.73249912261963,Quinn_Business
1475,2017-01-15,58.25999927520752,58.22249889373779,58.32999897003174,58.247498512268066,59.11749839782715,58.04249858856201,68.49249839782715,69.75249862670898,68.50249671936035,57.242499351501465,57.339999198913574,57.07999897003174,56.60999774932861,57.519999504089355,56.7574987411499,63.89249801635742,69.01249885559082,82.84499740600586,82.97500038146973,82.05500030517578,71.75749778747559,68.2549991607666,61.23749923706055,60.04749774932861,Quinn_Business
1476,2017-01-16,58.85999870300293,58.37499809265137,58.3849983215332,57.52499771118164,58.264997482299805,71.62749767303467,103.40749740600586,123.16749954223633,148.96999740600586,143.96499633789062,148.59999465942383,153.7249984741211,151.01499557495117,145.8699951171875,146.00749969482422,152.56499481201172,147.68249893188477,141.4124984741211,130.35749626159668,111.02499961853027,99.37749862670898,94.8949966430664,69.6974983215332,63.727498054504395,Quinn_Business
1477,2017-01-17,61.6899995803833,60.912498474121094,61.6349983215332,61.69749927520752,61.062499046325684,61.64499855041504,106.70999717712404,127.2449951171875,139.95499801635742,143.7224998474121,152.61499404907227,152.62749862670898,154.64249801635742,152.3400001525879,146.91499710083008,148.04499435424805,150.81249618530273,147.0099983215332,140.26499557495117,117.00249671936035,104.80999565124512,98.57249641418457,69.84999752044678,63.58499813079834,Quinn_Business
1478,2017-01-18,61.79499816894531,61.379998207092285,60.80499839782715,60.93999767303467,60.42749786376953,60.31249809265137,104.06249618530273,123.42999649047852,140.875,145.07749938964844,150.84749221801758,154.65249633789062,160.93499374389648,155.70249557495117,152.24499893188477,154.95249938964844,151.8974952697754,155.38249969482422,156.38249588012695,139.57749557495117,122.4899959564209,97.38499641418457,67.82499885559082,62.027499198913574,Quinn_Business
1479,2017-01-19,59.71249866485596,59.184998512268066,59.3149995803833,59.922499656677246,59.79249954223633,59.64999866485596,104.44999694824219,131.47500038146973,150.2799949645996,158.2249984741211,162.2074966430664,162.4949951171875,159.15249633789062,171.50499725341797,179.69249725341797,161.53999710083008,153.0199966430664,147.30499267578125,135.31249618530273,119.27999687194824,101.74749755859375,97.40999794006348,68.53749752044678,62.35749816894531,Quinn_Business
1480,2017-01-20,59.89499855041504,58.814998626708984,58.60999870300293,59.47749900817871,58.91249942779541,58.64999961853027,103.17749977111816,125.58999633789062,147.62999725341797,159.85749435424805,156.92499923706055,164.43499374389648,159.8849983215332,145.66749572753906,139.49749755859375,138.4674949645996,130.32999801635742,135.44499969482422,123.27499771118164,106.87499809265137,100.53999710083008,92.57999992370605,65.3249979019165,60.56499767303467,Quinn_Business
1481,2017-01-21,58.39249801635742,59.5724983215332,59.964999198913574,67.72749614715576,68.42999839782715,68.44999885559082,71.0674991607666,72.41999816894531,111.25499725341797,113.65249633789062,112.2874984741211,111.6049976348877,112.10499954223633,110.28249740600586,106.70999717712402,105.23249816894531,102.35249710083008,112.7074966430664,74.68999862670898,66.17499923706055,65.05249977111816,71.01749801635742,69.32749938964844,69.08249855041504,Quinn_Business
1482,2017-01-22,68.50749778747559,68.21749877929688,67.86999893188477,68.44499969482422,68.15999984741211,59.65999889373779,61.95749759674072,62.63999843597412,58.390000343322754,51.22999954223633,48.21999931335449,47.394999504089355,48.85499858856201,48.31999969482422,47.04249858856201,47.40249824523926,47.60249900817871,61.16999912261963,64.97999858856201,67.13750076293945,71.18999862670898,70.58499908447266,69.65999984741211,68.41749954223633,Quinn_Business
1483,2017-01-23,66.85999870300293,60.214999198913574,57.24249839782715,57.45999813079834,57.022499084472656,79.18499946594238,107.74999809265137,131.5074977874756,158.66749954223633,164.50499725341797,181.84999465942383,196.79499435424805,191.48749542236328,178.38749313354492,169.70249938964844,165.74249649047852,170.56000137329102,157.98499298095703,143.73749923706055,136.02249908447266,123.16499519348145,114.68999862670898,73.1324987411499,61.474998474121094,Quinn_Business
1484,2017-01-24,60.1324987411499,59.8224983215332,59.83999824523926,59.39499855041504,59.89499855041504,58.914998054504395,105.94249725341797,129.49749565124512,160.68749618530273,174.27999496459958,190.3699951171875,193.49749374389648,184.96249389648438,182.22499465942383,189.50249862670898,182.34749603271484,178.6649932861328,160.67749404907227,139.97249603271484,130.60250091552734,120.4474983215332,115.52249717712402,75.34999752044678,64.42249965667725,Quinn_Business
1485,2017-01-25,61.342498779296875,60.33499813079834,59.49999809265137,60.67249870300293,60.314998626708984,59.69999885559082,104.51749801635744,124.7924976348877,155.25499725341797,169.73749542236328,182.71249389648438,182.4799919128418,183.1199951171875,179.34499740600586,187.65749740600586,181.39999771118164,186.34499740600586,170.4699935913086,150.90749740600586,140.22749710083008,125.94749450683594,116.3499984741211,75.5124979019165,65.09749698638916,Quinn_Business
1486,2017-01-26,61.66999816894531,61.29999828338623,60.957499504089355,61.84999942779541,61.64749813079834,60.93749809265137,105.47249794006348,138.42499923706055,160.3074951171875,189.7974967956543,196.90249252319336,200.86499404907227,199.9699935913086,197.24249267578125,196.01999282836914,188.7649917602539,177.3974952697754,155.19499969482422,144.1649932861328,140.0349998474121,123.79249572753906,115.28499603271484,74.0374984741211,62.02750015258789,Quinn_Business
1487,2017-01-27,61.22249889373779,60.20749855041504,59.82499885559082,60.18249988555908,60.5099983215332,60.20999813079834,105.3499984741211,130.40999603271484,154.1999969482422,161.59249877929688,163.6999969482422,178.6399917602539,181.1099967956543,171.92999649047852,168.9699935913086,159.46499252319336,142.74999618530273,136.04499435424805,130.49749755859375,123.03999519348145,118.32249641418457,111.08999633789062,76.40749931335449,63.429999351501465,Quinn_Business
1488,2017-01-28,61.16999816894531,59.497498512268066,59.469998359680176,60.20749855041504,60.852498054504395,60.3799991607666,63.35249900817871,65.54500007629395,95.6049976348877,101.91999816894531,102.1974983215332,105.70499801635742,104.3174991607666,105.61999702453613,102.73499870300293,103.19999694824219,100.80249786376953,109.12749862670898,79.71249580383301,68.65499877929688,66.93499755859375,64.14499950408936,62.09749889373779,62.937499046325684,Quinn_Business
1489,2017-01-29,60.61749839782715,61.86499786376953,61.30499839782715,62.14000034332275,62.154998779296875,61.16999912261963,62.74749946594238,63.71749782562256,54.23999786376953,50.5724983215332,52.967498779296875,51.569997787475586,52.52749824523926,50.872498512268066,50.35749912261963,49.64249897003174,49.309998512268066,60.029998779296875,64.55499935150146,65.54999923706055,63.38249969482422,62.52749824523926,61.31249809265137,61.88749885559082,Quinn_Business
