,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,building,month,DayOfWeek,hour,season,weekday,term_time,term_week,IsHoliday,Cluster,prob_1,prob_2,prob_3,prob_4,prob_5,building_code
0,2023-12-11,20.980000019073486,26.019999504089355,25.522499561309814,22.952499389648438,19.492499351501465,23.502499103546143,31.59749937057495,45.19749927520752,57.252498626708984,70.59499740600586,69.52499771118164,69.49749946594238,69.05249786376953,63.42749881744385,62.489999771118164,69.63999938964844,64.04249954223633,55.664998054504395,64.98999786376953,55.187499046325684,43.85249900817871,39.28999900817871,30.00999927520752,21.017499446868896,Sutherland_Law,12,0,0,1,1,1,1,1,4,0.0,0.0,0.0,0.0,1.0,4
1,2019-09-05,74.9124984741211,75.11249732971191,74.07999801635742,72.7024974822998,72.67499732971191,89.50500011444092,129.2175006866455,138.52749633789062,147.56249618530273,151.97249603271484,153.72999954223633,154.36750030517578,155.6624984741211,149.48749542236328,146.65249252319336,145.43000030517578,135.89999389648438,123.6349983215332,124.56499671936037,114.33749771118164,107.36999702453615,94.0149974822998,77.6049976348877,76.55249977111816,Quinn_Business,9,3,0,4,1,1,1,1,4,0.0,0.0,0.292,0.0,0.708,1
2,2023-10-10,50.42249941825867,45.01999878883362,34.059998989105225,32.3449991941452,29.59499943256378,30.342499494552612,37.79249930381775,49.76249873638153,57.68999898433685,74.66499853134155,73.52249789237976,60.34999871253967,70.82749724388123,44.59249937534332,25.954999424517155,51.06999921798706,56.469998836517334,85.59249830245972,103.11749744415283,123.20999717712402,130.41749715805054,136.8799967765808,107.97249746322632,76.13499855995178,Ashfield,10,1,0,4,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,5
3,2022-05-20,21.902499496936798,23.022499322891235,22.4749995470047,24.744999647140503,23.103515207767487,23.29976499080658,17.881718516349792,19.713163803797215,31.30671837972477,34.19339806213975,33.341210432350636,35.805741822347045,44.11957027390599,65.30406203074381,44.48238222673535,51.86832021549344,46.96273432858288,33.701991986483335,30.51699174568057,30.177343010902405,35.63132733106613,48.587499141693115,31.759999215602875,22.63999941945076,Ashfield,5,4,0,2,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,5
4,2019-09-10,104.50499725341797,105.24499702453613,103.60999870300293,102.9899959564209,104.05749893188477,103.21749496459961,119.93250274658203,151.06249618530273,169.40999221801758,186.61499786376953,201.12499618530273,200.8974952697754,206.5999984741211,202.30999755859375,219.38999938964844,207.4674949645996,164.9049949645996,148.3449935913086,134.5175018310547,127.33499908447266,118.76749610900879,113.36750030517578,107.4224967956543,107.66749572753906,Engineering,9,1,0,4,1,1,1,1,2,0.0,0.0,1.0,0.0,0.0,6
5,2019-04-12,6.619999885559082,6.3124998807907104,5.904999852180481,5.509999871253967,5.912499904632568,7.8099998235702515,8.59999966621399,9.017499685287476,9.077499866485596,9.372499942779541,9.082499742507935,8.554999828338623,8.829999923706055,9.669999837875366,11.227499723434448,9.824999809265137,8.122499942779541,10.587499618530273,11.212499618530273,11.97499966621399,12.717499494552612,11.524999856948853,9.194999814033508,9.34749972820282,Glenomenab9,4,4,0,2,1,1,1,1,3,0.0,0.0,0.0,1.0,0.0,2
6,2022-03-24,8.299999952316284,6.554999947547913,5.3724998235702515,4.789999842643738,4.485000014305115,4.382499933242798,5.307499885559082,6.397499918937683,8.107499718666077,8.322499871253967,9.037500143051147,8.227499961853027,7.81499981880188,8.477499723434448,7.509999752044678,9.364999771118164,7.797499895095825,9.25249981880188,11.217499732971191,11.467499732971191,11.684999704360962,10.942499876022339,10.919999599456787,8.492499828338623,Glenomenab9,3,3,0,2,1,1,1,1,3,0.0,0.0,0.0,1.0,0.0,2
7,2017-10-09,71.06249809265137,70.64999771118164,71.25499725341797,69.33249855041504,68.82999801635742,67.86249923706055,51.567498207092285,41.499999046325684,32.94250011444092,30.88749933242798,32.46999931335449,34.53249931335449,35.90749931335449,37.334999084472656,33.57999897003174,55.35499906539917,57.289998054504395,55.37499809265137,52.6349983215332,70.30499744415283,71.74999809265137,73.00249671936035,73.58749771118164,70.8949966430664,Quinn_Business,10,0,0,4,1,1,1,1,4,0.0,0.0,0.0,0.0,1.0,1
8,2017-09-04,18.432499885559082,18.334999084472656,18.47749948501587,18.282499313354492,18.53499984741211,23.934999465942383,34.179999351501465,57.05749988555908,61.6974983215332,62.439998626708984,62.52749824523926,66.00499820709229,70.87249755859375,66.9449987411499,59.54249858856201,56.57249927520752,46.41249752044678,39.72249889373779,33.457499504089355,32.30999994277954,30.269999504089355,23.579999923706055,20.34999990463257,20.082499504089355,Sutherland_Law,9,0,0,4,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,4
9,2017-09-15,5.40749979019165,5.169999957084656,5.304999947547913,4.9024999141693115,4.817499756813049,5.967499852180481,7.007499933242798,9.647499799728394,10.59499979019165,9.017499923706055,8.529999852180481,10.557499885559082,8.739999771118164,9.112499713897705,8.714999794960022,9.167500019073486,9.749999523162842,14.177500009536743,12.442499876022339,11.729999780654907,11.622499942779541,10.674999713897705,7.667500019073487,6.467499852180481,Glenomenab9,9,4,0,4,1,1,1,1,3,0.0,0.0,0.0,1.0,0.0,2
10,2017-06-13,21.31749963760376,21.52999973297119,21.51249933242798,21.352499961853027,18.479999542236328,25.104999542236328,29.12750005722046,51.449997901916504,51.04749870300293,52.527499198913574,58.16999912261963,50.772499084472656,48.17749881744385,48.254998207092285,45.28999900817871,44.78499984741211,35.747498512268066,32.937499046325684,31.149999618530273,28.22249984741211,26.972498893737793,24.767499446868896,22.464999198913574,21.88499927520752,Sutherland_Law,6,1,0,3,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,4
11,2018-01-13,21.00749969482422,21.01249933242798,20.824999809265137,20.864999771118164,20.28999948501587,20.929999351501465,21.149999141693115,22.359999656677246,31.524999141693115,36.147499084472656,35.749999046325684,35.959999084472656,37.017499923706055,37.272499084472656,35.374999046325684,38.432498931884766,33.67749881744385,33.34999942779541,25.91999912261963,22.13749933242798,22.014999389648438,22.397499561309814,20.749999523162842,20.97499942779541,Sutherland_Law,1,5,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,4
12,2018-01-23,81.84749603271484,81.09749794006348,81.14499855041504,81.09000015258789,80.16499900817871,81.41749954223633,105.49999809265137,118.77249336242676,146.28499603271484,178.92499542236328,186.74748992919922,197.5799903869629,216.8974952697754,193.75249862670898,192.68499755859375,233.84999084472656,200.47749710083008,160.53499603271484,126.65249633789062,117.41749382019043,115.1199951171875,105.87499809265137,86.06999778747559,81.20499420166016,Engineering,1,1,0,1,1,1,1,1,2,0.0,0.0,1.0,0.0,0.0,6
13,2017-03-29,62.90999889373779,62.154998779296875,60.37499809265137,60.84249973297119,61.17999839782715,113.61000061035156,126.76999855041504,151.1999969482422,168.24249649047852,185.9099998474121,188.34999465942383,188.56999588012695,179.93499374389648,181.0099983215332,176.3174934387207,171.11249923706055,139.94249725341797,133.0849952697754,128.77999687194824,130.30499267578125,124.88999938964844,78.26499938964844,69.30999755859375,64.27999877929688,Quinn_Business,3,2,0,2,1,1,1,1,2,0.0,0.0,1.0,0.0,0.0,1
14,2017-11-25,10.109999895095825,8.25,7.564999818801881,7.0624998807907104,6.514999866485596,6.3124998807907104,6.739999890327454,7.337499737739563,9.072499871253967,10.274999856948853,11.419999599456787,10.41249966621399,10.964999675750732,13.09499979019165,11.652499675750732,11.59749984741211,12.574999570846558,13.624999761581421,13.074999809265137,15.304999828338623,12.684999704360962,11.294999837875366,11.802499771118164,10.979999780654907,Glenomenab9,11,5,0,4,0,1,0,0,3,0.0,0.0,0.0,1.0,0.0,2
15,2017-05-15,21.582499504089355,21.609999179840088,21.609999656677246,21.554999828338623,20.65749979019165,27.357499599456787,31.834998607635498,42.95249938964844,50.289998054504395,49.89499855041504,52.172499656677246,53.72999858856201,51.76249885559082,54.067498207092285,50.28499984741211,47.422499656677246,36.829999923706055,34.31999969482422,33.45249843597412,30.51499843597412,29.992499351501465,24.769999504089355,20.764999866485596,20.459999561309814,Sutherland_Law,5,0,0,2,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,4
16,2018-08-14,73.7599983215332,71.36999702453613,70.29749870300293,70.61249923706055,81.81999778747559,99.00249862670898,119.87249755859376,143.4499969482422,147.89249801635742,147.02249908447266,146.39249801635742,146.04249572753906,141.41249465942383,141.04999542236328,133.24749755859375,133.48749542236328,114.89499855041504,99.625,77.24749755859375,68.76249885559082,80.46749877929688,76.0049991607666,73.50249671936035,72.71249961853027,Quinn_Business,8,1,0,3,1,0,0,0,4,0.0,0.0,0.0,0.0,1.0,1
17,2023-04-01,49.79499912261963,49.709999084472656,50.119998931884766,49.89999961853027,49.56249809265137,50.35499858856201,77.56999683380127,110.51999473571777,140.00999450683594,125.4524974822998,114.0424976348877,108.23249626159668,105.93249893188477,109.26749801635744,118.6674976348877,120.90499877929688,116.65499687194824,115.9799976348877,122.24249839782715,103.88499641418457,81.35749816894531,73.68499755859375,58.434998512268066,50.60249900817871,Quinn_Business,4,5,0,2,0,1,0,0,2,0.0,0.0,1.0,0.0,0.0,1
18,2018-09-29,21.402499198913574,22.107499599456787,22.232499599456787,22.187499523162842,22.907499313354492,23.434999465942383,21.287498950958252,27.897499084472656,31.674999237060547,32.39249849319458,32.19499921798706,33.10999870300293,36.079999923706055,37.53499889373779,33.82249927520752,32.46749925613403,28.97999906539917,21.57249927520752,21.482499599456787,22.902499675750732,22.652499198913574,22.09749984741211,20.952499866485596,21.25999927520752,Sutherland_Law,9,5,0,4,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,4
